"variable","value","sd","st","Sex"
"t0",-3.1291179577343,0.185981305113869,"North_Early","F"
"t0",-2.70715272237218,0.27875875677726,"North_Late","F"
"t0",-3.73319647891149,0.240442291850975,"South_Early","F"
"t0",-4.62677819014273,0.477963891994921,"South_Late","F"
"t0",-1.251852410823,0.0593990648487859,"North_Early","M"
"t0",-1.17061349240262,0.0659599429951459,"North_Late","M"
"t0",-1.64122177161273,0.0597145736355095,"South_Early","M"
"t0",-1.49689050628183,0.0664387623416475,"South_Late","M"
"log_k",-1.5242996607425,0.0291496613465652,"North_Early","F"
"log_k",-1.19285878456564,0.0467055891686333,"North_Late","F"
"log_k",-1.58835106112456,0.0364554159101224,"South_Early","F"
"log_k",-1.48491855665936,0.0611108639480015,"South_Late","F"
"log_k",-1.00002065002564,0.0278688200863573,"North_Early","M"
"log_k",-0.691468618045353,0.0378671418793757,"North_Late","M"
"log_k",-1.23865537721961,0.0239329350149985,"South_Early","M"
"log_k",-0.962263105763812,0.0287204689136453,"South_Late","M"
"Linf",76.6812546490526,0.211302748261496,"North_Early","F"
"Linf",64.7053552542861,0.165463632576266,"North_Late","F"
"Linf",74.733325775789,0.28929922144154,"South_Early","F"
"Linf",64.5321104934335,0.238585827316018,"South_Late","F"
"Linf",67.5030118135452,0.373120752285179,"North_Early","M"
"Linf",56.8214389441629,0.302677064346956,"North_Late","M"
"Linf",68.2008167630796,0.322975291274414,"South_Early","M"
"Linf",58.7071844695055,0.246861059983779,"South_Late","M"
"Sigma",6.13192302705212,0.0275793223498637,"ALL","ALL"
